ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,SJW,SJL,MaxW,MaxL,AvgW,AvgL
51,New York,US Open,25/08/14,Grand Slam,Outdoor,Hard,1st Round,5,Ebden M.,Kamke T.,94,73,608,708,6,4,6,3,7,6,,,,,3,0,Completed,3,1.36,2.9,1.4,2.75,1.4,3.11,1.42,3,1.4,3.3,1.42,3.04,1.37
51,New York,US Open,25/08/14,Grand Slam,Outdoor,Hard,1st Round,5,Mayer L.,Montanes A.,26,114,1354,528,6,2,3,0,,,,,,,1,0,Retired,1.16,5,1.17,4.75,1.2,4.33,1.18,5.76,1.18,4.8,1.2,5.76,1.17,4.84
51,New York,US Open,25/08/14,Grand Slam,Outdoor,Hard,1st Round,5,Paire B.,Benneteau J.,98,28,590,1285,7,6,5,7,6,4,4,6,6,4,3,2,Completed,2.5,1.5,2.5,1.5,2.5,1.5,2.5,1.6,2.5,1.53,2.65,1.6,2.51,1.51
51,New York,US Open,25/08/14,Grand Slam,Outdoor,Hard,1st Round,5,Seppi A.,Stakhovsky S.,49,93,925,612,6,3,6,1,6,4,,,,,3,0,Completed,1.61,2.2,1.52,2.45,1.53,2.38,1.75,2.2,,,1.77,2.5,1.61,2.3
51,New York,US Open,25/08/14,Grand Slam,Outdoor,Hard,1st Round,5,Kyrgios N.,Youzhny M.,60,23,805,1540,7,5,7,6,2,6,7,6,,,3,1,Completed,2.1,1.66,2.1,1.7,2.2,1.62,2.37,1.66,2.25,1.62,2.37,1.76,2.17,1.67
51,New York,US Open,25/08/14,Grand Slam,Outdoor,Hard,1st Round,5,Murray A.,Haase R.,9,70,3150,725,6,3,7,6,1,6,7,5,,,3,1,Completed,1.03,15,1.03,11,1.03,12,1.04,16,1.03,11,1.05,17.75,1.03,13.18
51,New York,US Open,25/08/14,Grand Slam,Outdoor,Hard,1st Round,5,Bachinger M.,Stepanek R.,235,39,208,1060,6,3,6,2,6,2,,,,,3,0,Completed,4,1.22,4,1.22,4,1.22,4.1,1.28,4,1.25,4.2,1.32,3.85,1.25
51,New York,US Open,25/08/14,Grand Slam,Outdoor,Hard,1st Round,5,Verdasco F.,Rola B.,37,87,1100,638,6,3,3,6,7,5,1,6,6,4,3,2,Completed,1.18,4.5,1.18,4.5,1.17,4.5,1.24,4.65,1.2,4.5,1.24,4.75,1.2,4.43
51,New York,US Open,25/08/14,Grand Slam,Outdoor,Hard,1st Round,5,Bolelli S.,Pospisil V.,85,46,642,965,2,6,6,4,6,2,3,6,6,3,3,2,Completed,4,1.22,3.75,1.25,3.75,1.25,4.14,1.28,4,1.22,4.25,1.28,3.9,1.24
51,New York,US Open,25/08/14,Grand Slam,Outdoor,Hard,1st Round,5,Tsonga J.W.,Monaco J.,10,99,2920,580,6,3,4,6,7,6,6,1,,,3,1,Completed,1.07,9,1.06,8.5,1.08,8,1.07,10.25,1.1,7,1.1,11,1.07,8.73
51,New York,US Open,25/08/14,Grand Slam,Outdoor,Hard,1st Round,5,Carreno-Busta P.,Beck A.,74,115,691,528,6,3,4,6,6,2,7,6,,,3,1,Completed,1.83,1.83,1.88,1.88,1.83,1.83,1.9,2,1.83,1.91,1.95,2.02,1.86,1.9
51,New York,US Open,25/08/14,Grand Slam,Outdoor,Hard,1st Round,5,Nedovyesov A.,Mcgee J.,107,194,554,255,4,6,6,2,6,1,7,6,,,3,1,Completed,1.72,2,1.85,1.9,1.73,2,1.98,1.93,1.83,2,1.98,2.2,1.84,1.93
51,New York,US Open,25/08/14,Grand Slam,Outdoor,Hard,1st Round,5,Bellucci T.,Mahut N.,91,103,618,575,7,6,6,4,6,1,,,,,3,0,Completed,2.25,1.57,2.35,1.58,2.38,1.53,2.35,1.67,2.3,1.57,2.45,1.67,2.31,1.6
51,New York,US Open,25/08/14,Grand Slam,Outdoor,Hard,1st Round,5,Kohlschreiber P.,Bagnis F.,25,109,1505,536,6,2,7,6,6,3,,,,,3,0,Completed,1.06,10,1.06,8.5,1.07,7.5,1.07,10.25,1.07,8,1.09,11,1.06,9.17
51,New York,US Open,25/08/14,Grand Slam,Outdoor,Hard,1st Round,5,Gojowczyk P.,Becker B.,124,59,483,813,6,2,6,4,6,2,,,,,3,0,Completed,2.1,1.66,2.15,1.68,2.1,1.67,2.09,1.83,2.25,1.62,2.3,1.83,2.12,1.7
51,New York,US Open,25/08/14,Grand Slam,Outdoor,Hard,1st Round,5,Wawrinka S.,Vesely J.,4,75,5985,686,6,2,7,6,7,6,,,,,3,0,Completed,1.1,7,1.1,6.5,1.08,8,1.11,8.04,1.11,6.5,1.13,8.04,1.1,6.98
51,New York,US Open,25/08/14,Grand Slam,Outdoor,Hard,1st Round,5,Robredo T.,Roger-Vasselin E.,18,52,1825,885,6,4,6,3,6,4,,,,,3,0,Completed,1.22,4,1.25,3.75,1.25,3.75,1.26,4.3,1.22,4,1.27,4.33,1.24,3.98
