ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,MaxW,MaxL,AvgW,AvgL
52,New York,US Open,31/08/15,Grand Slam,Outdoor,Hard,1st Round,5,Fish M.,Cecchinato M.,581,106,55,521,6,7,6,3,6,1,6,3,,,3,1,Completed,1.18,4.5,1.2,4.3,1.17,5,1.24,4.65,1.24,5,1.2,4.44
52,New York,US Open,31/08/15,Grand Slam,Outdoor,Hard,1st Round,5,Goffin D.,Bolelli S.,15,62,2130,785,6,4,6,1,6,2,,,,,3,0,Completed,1.25,3.75,1.28,3.5,1.29,3.5,1.29,4.05,1.3,4.15,1.26,3.73
52,New York,US Open,31/08/15,Grand Slam,Outdoor,Hard,1st Round,5,Dimitrov G.,Ebden M.,17,131,1735,428,6,4,6,2,6,4,,,,,3,0,Completed,1.06,10,1.06,8.5,1.06,8,1.07,11.57,1.07,11.88,1.06,9.38
52,New York,US Open,31/08/15,Grand Slam,Outdoor,Hard,1st Round,5,Ilhan M.,Stepanek R.,84,285,618,167,6,0,2,6,6,4,3,2,,,2,1,Retired,2.2,1.61,2.05,1.72,2.1,1.67,2.16,1.78,2.25,1.78,2.13,1.7
52,New York,US Open,31/08/15,Grand Slam,Outdoor,Hard,1st Round,5,Kukushkin M.,Lu Y.H.,56,97,842,539,6,3,6,3,3,0,,,,,2,0,Retired,1.53,2.37,1.55,2.4,1.62,2.2,1.64,2.42,1.65,2.45,1.58,2.33
52,New York,US Open,31/08/15,Grand Slam,Outdoor,Hard,1st Round,5,Paire B.,Nishikori K.,41,4,1052,6205,6,4,3,6,4,6,7,6,6,4,3,2,Completed,8,1.08,7.25,1.08,8,1.08,9.87,1.08,9.87,1.09,8.23,1.07
52,New York,US Open,31/08/15,Grand Slam,Outdoor,Hard,1st Round,5,Berankis R.,Sousa J.,78,46,661,986,6,2,6,2,4,6,2,6,7,6,3,2,Completed,1.8,1.9,2,1.8,1.8,1.91,2.06,1.85,2.06,1.92,1.93,1.84
52,New York,US Open,31/08/15,Grand Slam,Outdoor,Hard,1st Round,5,Seppi A.,Paul T.,25,437,1430,93,6,4,6,0,7,5,,,,,3,0,Completed,1.16,5,1.17,4.75,1.17,4.5,1.21,5.05,1.21,5.45,1.18,4.83
52,New York,US Open,31/08/15,Grand Slam,Outdoor,Hard,1st Round,5,Tsonga J.W.,Nieminen J.,18,105,1675,521,6,3,6,1,6,1,,,,,3,0,Completed,1.06,10,1.04,10,1.06,8,1.05,13.44,1.07,13.44,1.05,10.02
52,New York,US Open,31/08/15,Grand Slam,Outdoor,Hard,1st Round,5,Lopez F.,Basilashvili N.,19,101,1665,534,7,6,6,1,6,3,,,,,3,0,Completed,1.33,3.25,1.38,3,1.36,3,1.39,3.26,1.4,3.26,1.36,3.03
52,New York,US Open,31/08/15,Grand Slam,Outdoor,Hard,1st Round,5,Gabashvili T.,Andujar P.,53,49,867,945,7,6,0,6,4,6,6,4,,,2,2,Retired,1.4,2.75,1.45,2.7,1.44,2.62,1.51,2.75,1.51,2.8,1.47,2.64
52,New York,US Open,31/08/15,Grand Slam,Outdoor,Hard,1st Round,5,Granollers M.,Lacko L.,77,116,665,477,6,2,6,3,6,1,,,,,3,0,Completed,1.4,2.75,1.42,2.8,1.5,2.5,1.49,2.82,1.5,2.85,1.46,2.68
52,New York,US Open,31/08/15,Grand Slam,Outdoor,Hard,1st Round,5,Verdasco F.,Haas T.,42,506,1020,73,3,6,6,1,6,7,6,3,6,1,3,2,Completed,1.33,3.25,1.25,3.75,1.25,3.75,1.34,3.56,1.34,4.1,1.29,3.57
52,New York,US Open,31/08/15,Grand Slam,Outdoor,Hard,1st Round,5,Raonic M.,Smyczek T.,10,99,2880,535,6,4,7,6,6,1,,,,,3,0,Completed,1.07,9,1.07,8,1.06,8,1.08,10.5,1.08,10.5,1.06,8.65
52,New York,US Open,31/08/15,Grand Slam,Outdoor,Hard,1st Round,5,Stakhovsky S.,Millman J.,60,72,804,701,6,1,3,6,7,6,6,4,,,3,1,Completed,2.2,1.61,2.35,1.58,2.1,1.67,2.41,1.64,2.41,1.67,2.26,1.62
52,New York,US Open,31/08/15,Grand Slam,Outdoor,Hard,1st Round,5,Klizan M.,Mayer F.,36,216,1125,226,6,7,6,3,6,3,3,0,,,2,1,Retired,1.25,3.75,1.22,4,1.25,3.75,1.31,3.81,1.31,4.2,1.25,3.9
52,New York,US Open,31/08/15,Grand Slam,Outdoor,Hard,1st Round,5,Chardy J.,Shane R.,27,1410,1300,3,6,2,6,1,6,7,6,2,,,3,1,Completed,1.04,13,1.03,11,1.03,10,1.01,26.63,1.05,26.63,1.03,13.02
52,New York,US Open,31/08/15,Grand Slam,Outdoor,Hard,1st Round,5,Cilic M.,Pella G.,9,94,3550,546,6,3,7,6,7,6,,,,,3,0,Completed,1.07,8,1.07,8,1.08,8,1.07,11.53,1.08,11.88,1.07,9.04
52,New York,US Open,31/08/15,Grand Slam,Outdoor,Hard,1st Round,5,Donskoy E.,Pouille L.,139,65,402,753,6,2,6,7,6,2,6,4,,,3,1,Completed,1.5,2.5,1.5,2.5,1.57,2.25,1.57,2.57,1.6,2.57,1.54,2.43
52,New York,US Open,31/08/15,Grand Slam,Outdoor,Hard,1st Round,5,Ferrer D.,Albot R.,7,86,3695,591,4,6,7,5,6,1,6,0,,,3,1,Completed,1.08,8,1.11,6,1.12,6,1.11,8.21,1.12,8.21,1.09,6.98
52,New York,US Open,31/08/15,Grand Slam,Outdoor,Hard,1st Round,5,Robredo T.,Berrer M.,26,121,1405,463,6,2,6,2,6,4,,,,,3,0,Completed,1.18,4.5,1.2,4.3,1.2,4.33,1.25,4.46,1.25,4.5,1.21,4.26
52,New York,US Open,31/08/15,Grand Slam,Outdoor,Hard,1st Round,5,Bautista R.,Herbert P.H,23,92,1510,551,6,3,6,2,7,6,,,,,3,0,Completed,1.2,4.33,1.22,4,1.22,4,1.29,4.05,1.29,4.33,1.24,3.97
52,New York,US Open,31/08/15,Grand Slam,Outdoor,Hard,1st Round,5,Djokovic N.,Souza J.,1,91,14865,554,6,1,6,1,6,1,,,,,3,0,Completed,1,67,1.01,13,1,41,1.01,51,1.01,91,1.01,26.17
52,New York,US Open,31/08/15,Grand Slam,Outdoor,Hard,1st Round,5,Krajinovic F.,Gonzalez A.,102,119,534,470,6,4,6,0,6,4,,,,,3,0,Completed,1.53,2.37,1.6,2.3,1.53,2.38,1.6,2.5,1.64,2.5,1.58,2.35
